"trial","points","peaks","k","delta_p"
"1","463238","19","4.06618473895582E-07","415"
"2","226606","18","4.21866666666667E-07","400"
"3","260150","22","4.55424242424242E-07","440"
"4","250060","22","5.27333333333333E-07","420"
"5","233982","21","4.90542635658915E-07","430"
"6","465954","21","4.07484848484848E-07","440"
"7","301900","22","4.81478260869565E-07","460"
"8","122550","22","5.27333333333333E-07","440"
"9","255860","25","5.73188405797102E-07","460"
"10","170698","25","5.59619047619048E-07","490"
"11","191026","23","6.15222222222222E-07","480"

